"","group","species","Matrix 461d","Matrix 462d","Matrix 463d","Matrix 464d","Matrix 465d","Matrix 466d","Matrix 467d","Matrix 468d","Matrix 469d","Matrix 470d","Matrix 471d","Matrix 472d","Matrix 473d","Matrix 474d","Matrix 475d","Matrix 476d","Matrix 477d","Matrix 478d","Matrix 479d","Matrix 480d"
"12","Bellinurina","Euproops_anthrax",0.05,-0.2,-0.1,0.05,0.2,0.05,0,0.2,0.2,0.05,-0.45,0,0.15,0.15,-0.2,-0.15,0.05,0,-0.4,0.1
"13","Bellinurina","Euproops_mariae",0.05,0,0.05,0.15,0.2,0,-0.15,0.1,0.15,0.05,-0.3,-0.15,0.15,0,-0.05,-0.2,0.15,-0.1,-0.15,0.05
"14","Bellinurina","Euproops_rotundatus",0.25,-0.15,0.05,0.05,0.3,0.1,-0.15,0.2,0.35,0.1,-0.3,0.1,0.15,0.1,-0.05,-0.15,0.25,0.15,-0.2,0.05
"15","Bellinurina","Liomesaspis_laevis",0.15,-0.15,0,0.05,0.05,0,-0.15,0.1,0.4,0.25,-0.15,0.25,0.05,0.05,-0.1,-0.3,0.05,0.1,0.1,0.05
"16","Bellinurina","Anacontium_carpenteri",0.15,-0.2,-0.1,0.05,0,-0.1,0.05,0.1,0.35,0.1,-0.05,0.35,0.1,-0.05,-0.05,-0.1,0.1,0.15,-0.3,0.15
"17","Bellinurina","Alanops_magnifica",-0.05,-0.25,0,0.25,0.15,0.15,-0.1,0.1,0.25,0,-0.05,-0.05,0.3,-0.1,0.3,-0.2,0.05,0.15,-0.25,0.1
"18","Bellinurina","Pringlia_birtwelli",0.3,-0.15,0,0.15,0.25,0.05,-0.05,0.4,0.1,0.05,-0.15,-0.15,0.2,-0.25,0.2,-0.15,-0.1,0.15,-0.3,0.1
"19","Bellinurina","Bellinuroopsis_rossicus",0.05,-0.15,0,0,0.05,0.1,0,0.2,0.15,0,0,-0.2,-0.05,0.1,-0.15,0.1,0.15,0,-0.25,0.05
"20","Limulina","Rolfeia_fouldenensis",0,-0.1,0,0.25,0.1,-0.15,0.05,0.15,0,-0.2,-0.1,0.05,0,-0.1,0.05,0.1,0,0.1,-0.2,0.15
"21","Limulina","Valloisella_lievensis",-0.2,-0.25,-0.05,0.1,0.1,-0.15,0.05,0.05,0.05,-0.2,0.05,0.05,0.05,-0.1,-0.05,0.05,0.2,-0.1,-0.2,0.4
"22","Limulina","Paleolimulus_woodae",-0.35,0.15,0.1,0.1,0,-0.1,-0.2,0.05,-0.1,-0.05,0.1,0,0.1,0.1,0,0.05,-0.3,-0.1,-0.25,0.2
